ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,EntityStatusName,ReferendumName,DesignationStatusName,CompanyRegistrationNumber,ApprovedDate,FieldingCandidatesInEngland,FieldingCandidatesInScotland,FieldingCandidatesInWales,FieldingCandidatesInEurope,FieldingCandidatesMinorParty,ReferendumOutcome,CampaigningName,FinancialYearEnd
PP702,Llais Gwynedd - The Voice of Gwynedd,Political Party,Registered,Great Britain,,,,,19/03/2008,False,False,True,False,False,,,31/12
PP6405,Llantwit First Independents,Political Party,Registered,Great Britain,,,,,20/03/2017,False,False,True,False,False,,,31/12
PP7960,Local Alliance,Political Party,Registered,Great Britain,,,,,05/02/2019,True,False,False,False,False,,,31/12
PP9095,Londependence,Political Party,Registered,Great Britain,,,,,21/06/2019,True,False,False,True,False,,,31/12
PP149,Lytham St Annes Independents,Political Party,Registered,Great Britain,,,,,18/04/2001,True,False,False,False,False,,,30/9
PP492,Mainstream,Political Party,Registered,Great Britain,,,,,14/04/2005,True,True,True,False,False,,,31/12
PP504,Mansfield Independents,Political Party,Registered,Great Britain,,,,,14/07/2005,True,False,False,False,False,,,31/12
PP876,Matriarchal Party United Kingdom Great Britain,Political Party,Registered,Great Britain,,,,,15/04/2010,True,True,True,True,False,,,31/12
PP58,Mebyon Kernow - The Party for Cornwall,Political Party,Registered,Great Britain,,,,,25/02/1999,True,False,False,False,False,,,31/3
PP659,Mercian Party,Political Party,Registered,Great Britain,,,,,26/03/2007,True,False,False,False,False,,,31/12
PP202,Merton Park Ward Independent Residents,Political Party,Registered,Great Britain,,,,,04/10/2001,True,False,False,False,False,,,31/12
PP2287,Mexborough First,Political Party,Registered,Great Britain,,,,,17/03/2014,True,False,False,False,False,,,31/12
PP306,Middlewich First,Political Party,Registered,Great Britain,,,,,20/03/2003,True,False,False,False,False,,,31/12
PP6387,Money Free Party,Political Party,Registered,Great Britain,,,,,27/03/2017,True,True,True,False,False,,,31/12
PP23,Morecambe Bay Independents,Political Party,Registered,Great Britain,,,,,24/03/1999,True,False,False,False,False,,,31/12
PP356,Morley Borough Independents,Political Party,Registered,Great Britain,,,,,07/01/2004,True,False,False,False,False,,,31/12
PP9162,Motherworld Party,Political Party,Registered,Great Britain,,,,,07/08/2019,True,True,True,False,False,,,31/1
PP481,Movement for Active Democracy (M.A.D.),Political Party,Registered,Great Britain,,,,,12/04/2005,True,True,True,False,False,,,31/12
PP6805,National Equality Party,Political Party,Registered,Great Britain,,,,,03/07/2018,True,True,True,True,False,,,31/12
PP1713,National Flood Prevention Party,Political Party,Registered,Great Britain,,,,,24/03/2011,True,False,False,False,False,,,31/12
